CaseNumber,Amt.Repaid.at.6.Months,Nominal.Loan.Amount,Total.Amt.to.be.Repaid,PRSM,Repayment.Percentage,Commission.Upfront,Validated.Monthly.Batch,Historical.Monthly.Credit.Card.Receipts,Loan.Type,Loan.Size.Class,FICO,Years.In.Business,Num.of.Credit.Lines,Num.of.Paid.off.Credit.Lines,Current.Delinquent.Credit.Lines,Previous.Delinquent.Credit.Lines,Business.Entity.Type,Num.of.Trade.Lines,Num.of.Derog.Legal.Item,Two.Digit.SIC.Code,Two.Digit.SIC.Description,Population.in.Zip.Code,Average.House.Value.in.Zip.Code,Income.Per.Household.in.Zip....,State,ISO.Name
344012260,7879,19200,22656,0.6955,12.5,1344,18711.92,21963,O,S2,550,10,19,6,5,9,LLC,0,0,55,Automotive Dealers and Service Stations,36785,69500,29997,FL,Loan Masters
378114786,19392,37000,43475,0.8921,12.5,1498.5,36229.58,36230.1104,R,S3,501,6,28,11,3,10,LLC,1,0,58,Eating and Drinking Places,42503,170400,60296,MD,Loan Masters
351015636,14253,26600,31654,0.9005,12.5,3670.8,20988.4,20988.5,O,S3,579,29,9,3,1,2,LLC,1,0,58,Eating and Drinking Places,38066,92300,47825,GA,Credit Divas
79719718,6934,15600,18330,0.7566,12.5,421.2,19360,21128,R,S2,589,6,26,21,2,20,LLC,0,11,58,Eating and Drinking Places,10243,107700,45672,PA,Loan Masters
104110253,6199,18400,22816,0.5434,12.5,3540.16,23629.62,15620,R,S2,645,2,46,10,5,5,LLC,7,0,51,Wholesale Trade-Nondurable Goods,13388,137400,56057,FL,Credit Divas
371413226,21268,40000,49000,0.8681,14,800,28714.96,7124,R,S3,552,4,21,6,12,2,LLC,0,0,58,Eating and Drinking Places,41099,181200,61097,IL,Loan Masters
253511876,27233,44000,51700,1.0535,12.5,3267,39977.58,39977.5,R,S4,576,7,19,5,6,6,LLC,1,0,58,Eating and Drinking Places,27377,113000,44683,MN,Loan Masters
355114334,4841,8900,10635.55,0.9103,12.5,742.26,7963.44,12987.8,O,S2,587,17,44,19,0,10,LLC,11,1,42,Motor Freight Transportation/Warehouse,38515,99500,35381,FL,Loan Masters
214917684,8040,14800,18352,0.8762,12.5,2190.4,9735.94,9736,O,S2,613,5,26,16,1,14,S-Corp,1,0,72,Personal Services,23913,163600,64447,FL,Credit Divas
161017385,5885,15000,17850,0.6594,12.5,2070,12058.64,12058.3333,O,S2,473,6,26,11,8,5,LLC,0,0,58,Eating and Drinking Places,18925,184100,52319,NJ,Credit Divas
